,階層 Layer,平台 Platform,系統 System,模組 Module,組件 Actor,元件 Function / API,輸入 Input,處理 Process,輸出 Output,,,,,,,,,,,,,,,,
[Module] metadata management,,,,,,,,,,,,,,,,,,,,,,,,,
conversation manager,,,,,,,,,,,,,,,,,,,,,,,,,
建立對話 metadata,,,,metadata_mgt,"ConversationManager	",create_conversation_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""user_uid"" : <uuid>,
""conversation_name"" : <string>,
""agent_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 驗證 user_uid 是否存在對應的 user metadata
3. 驗證 agent_uid 是否存在對應的 agent metadata
4. 創建 conversation metadata
5. 創建 conversations/{user_uid}/{conversation_uid}.csv 路徑並存入 conversation metadata","{
""status_code""  : <int>,
""message"" : ""成功創建對話"",
""data"": {
""conversation_uid"": <uuid>,
""user_uid"": <uuid>,
""conversation_path"": <string>,
""conversation_name"": <string>,
""created_at"": <string>,
""updated_at"": <string>
}
}",,,,,,,,,,,,,,,,
取得單一對話 metadata,,,,metadata_mgt,ConversationManager,get_conversation_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 conversation_uid 找對應的 conversation metadata","{
""status_code"": <int>,
""message"": ""成功取得對話"",
""data"": {
""conversation_uid"": <uuid>,
""conversation_path"": <string>,
""conversation_name"": <string>,
""created_at"": <string>,
""updated_at"": <string>,
""user_uid"": <uuid>
}
}",,,,,,,,,,,,,,,,
取得使用者對話列表 metadata,,,,metadata_mgt,ConversationManager,get_conversation_metadata_list,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""user_uid"": <uuid>,
""agent_uid"": <uuid> // 可選
}","1. 檢查 payload（必填欄位）
2. 驗證 user_uid 是否存在對應的 user medatada
3. 透過 user_uid、agent_uid 找對應的 conversation(s) metadata","{
""status_code"": <intl>,
""message"": ""成功取得使用者所有對話"",
""data"": [
{
""conversation_uid"": <uuid>,
""conversation_path"": <string>,
""conversation_name"": <string>,
""created_at"": <string>,
""updated_at"": <string>,
""user_uid"": <uuid>,
""agent_uid"": <uuid>
}, 
{...}
]
}",,,,,,,,,,,,,,,,
更新對話名稱,,,,metadata_mgt,ConversationManager,update_conversation_name,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>,
""conversation_name"":<string>
}","1. 檢查 payload（必填欄位）
2. 透過 conversation_uid 找對應的 conversation metadata 並更新 conversation_name","{
""status_code"": <int>,
""message"": ""成功更新對話名稱""
}",,,,,,,,,,,,,,,,
刪除單一對話 metadata,,,,metadata_mgt,ConversationManager,delete_conversation_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 conversation_uid 找對應的 conversation metadata 並刪除 conversation metadata","{
""status_code"": <int>,
""message"": ""成功刪除對話""
}",,,,,,,,,,,,,,,,
驗證對話存在,,,,metadata_mgt,ConversationManager,verify_conversation_exist,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 conversation_uid 找對應的 conversation metadata","{
""status_code"": <int>,
""message"": ""Conversation exist""
}",,,,,,,,,,,,,,,,
text manager,,,,,,,,,,,,,,,,,,,,,,,,,
建立 text metadata,,,,metadata_mgt,TextManager,create_text_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>,
}","1. 檢查 payload（必填欄位）
2. 驗證 conversation_uid 是否存在對應的 conversation metadata
3. 透過 conversation metadata 找對應的 user metadata
4. 創建 texts/{conversation_uid}/{text_uid}.json 路徑
5. 創建 text metadata","{
""status_code"": <int>,
""message"": ""創建成功"",
""data"": {
""text_uid"": <uuid>,
""user_uid"": <uuid>,
""conversation_uid"": <uuid>,
""text_path"": <string>,
""created_at"": <string>
}
}",,,,,,,,,,,,,,,,
取得單一 text metadata,,,,metadata_mgt,TextManager,get_text_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""text_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 text_uid 找對應的 text metadata","{
""status_code"": <int>,
""message"": ""Text 查詢成功"",
""data"": {
""text_uid"": <uuid>,
""text_path"": <string>,
""created_at"": <string>,
}
}",,,,,,,,,,,,,,,,
取得對話下 text 列表 metadata,,,,metadata_mgt,TextManager,get_text_metadata_list,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 驗證 conversation_uid 是否存在對應的 conversation metadata
2. 透過 conversation metadata 找對應的 text(s) metadata","{
""status_code"": <int>,
""message"": ""成功取得對話下的 Text 清單"",
""data"": [
{
""text_uid"": <uuid>,
""text_path"": <string>,
""created_at"": <string>,
""user_uid"": <uuid>
},
{...}
]
}",,,,,,,,,,,,,,,,
刪除單一 text metadata,,,,metadata_mgt,TextManager,delete_text_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""text_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 text_uid 找對應的 text metadata 並刪除 text metadata","{
""status_code"": <int>,
""message"": ""Text 刪除成功""
}",,,,,,,,,,,,,,,,
user manager,,,,,,,,,,,,,,,,,,,,,,,,,
